MMOBILE/MMOBILE_INIT;Downloading config...
CONTENTS_GENERIC/PRECAUTIONARY_MEASURES/TEXT;"<p>The obstruction of the airway by a foreign object or chocking occurs when food or an object gets accidentally stuck in the airway and prevents air from entering the lungs causing asphyxiation. Most obstructions are mild but others can cause the victim to enter into cardiac arrest due to lack of oxygen resulting in death.</p> <p>The best way to resolve this health problem is to provide training to people on <strong>prevention and the quick action</strong> procedures to be used when someone is choking. </p> <p>A. These are basic prevention measures for adults: </p> <ul> <li>cut food into small pieces;</li> <li>chew food slowly and thoroughly, especially if you are using dental prosthetics;</li> <li>do not laugh while your are chewing and swallowing;</li> <li>avoid ingesting excessive amounts of alcohol before and during meals.</li> <p>In the case of babies and children:</p> <li>keep marbles, beads, thumbtacks, latex balloons, coins and other small toys or objects out of the reach of children, especially children younger than 3; <li>prevent children from walking, running or playing with food or toys in their mouths;</li> <li>supervise children when they are eating and in children under 4 years old, avoid giving them food that may get lodged in their throat such as hot dogs, walnuts, chunks of meat, chinks of cheese, grapes, hard or sticky candy and popcorn; </li> <li>ensure that older children do not give dangerous food or toys to smaller children;</li><li>as a rule of thumb, remember that you should not give children small toys or objects that can fit through the hole of a toilet paper roll.</li> </ul> <p> B. The entire population should be familiar with the procedures and maneuvers required in case of choking. </p>"
CONTENTS_GENERIC/PRIVACY_CONDITIONS/TITLE;Privacy and Conditions of Use
CONTENTS_GENERIC/PRIVACY_CONDITIONS/SHORT_TITLE;Privacy and Conditions of Use
CONTENTS_GENERIC/PRIVACY_CONDITIONS/TEXT;<h2>POLÍTICA DE PRIVACIDAD Y CONDICIONES DE USO APLICACIÓN MÓVIL</h2> <p>Al instalar esta Aplicación Móvil (en adelante, la Aplicación), el usuario manifiesta que ha leído y acepta la Política de Privacidad y las Condiciones de Uso (en adelante, la Política), obligándose a su cumplimiento. Mapfre (en adelante, la Entidad), se reserva el derecho, a su elección exclusiva, de cambiar, modificar, agregar o eliminar partes de la misma en cualquier momento y sin previo aviso, entendiéndose que el usuario ha aceptado tales modificaciones si continúa utilizando la Aplicación. El acceso y descarga de la aplicación es gratuito salvo en lo relativo al coste de la conexión a través de la red de telecomunicaciones suministrada por el proveedor de acceso contratado por el usuario. Por Aplicación móvil se entiende un software junto con otros posibles componentes facilitado por la Entidad para ser utilizado en dispositivos móviles con los sistemas operativos Android e iOS, así como las actualizaciones periódicas correspondientes. En ningún caso, se considerará al propietario del [indicar responsable del market] responsable de la aplicación, ni del uso que se haga de la misma. En ningún caso éste se considerará sponsor de la aplicación ni patrocinador de ninguna de las actividades que se realizan o establecen a través de la aplicación. El usuario garantiza que posee la plena capacidad legal, en base a su edad y/o situación, para aceptar lo dispuesto en esta Política y será enteramente responsable del cumplimiento de la misma. En caso contrario, el usuario deberá informar a sus representantes legales.</p> <h3>Tratamientos de datos de carácter personal</h3> <p>Mediante la instalación de esta Aplicación no se recogen ni se tratan datos de carácter personal. </p> <h3>Responsabilidades</h3> <p>La Entidad declina cualquier responsabilidad respecto a la información de esta Aplicación procedente de fuentes ajenas a la misma, así como de los contenidos no elaborados por ella. La función de los links (enlaces) que aparecen en esta Aplicación es exclusivamente la de informar al usuario sobre la existencia de otras fuentes de información sobre la materia, donde podrá ampliar los datos ofrecidos. La Entidad no será en ningún caso responsable del resultado obtenido a través de dichos enlaces hipertextuales.</p> <h3>Copyright</h3> <p>Reservados todos los derechos. Queda rigurosamente prohibida, sin la autorización escrita de los titulares del copyright, la reproducción, distribución, transformación, manipulación, comunicación pública o cualquier otro acto de explotación total o parcial, gratuito u oneroso de los textos, imágenes o cualquier otro contenido que aparezca en esta Aplicación. La Entidad se reserva el derecho de efectuar, en cualquier momento y sin previo aviso, cuantas modificaciones, variaciones, supresiones o cancelaciones en los contenidos y en la forma de presentación de los mismos consideren necesarias, ya sea de forma temporal o definitiva, debiendo asegurarse el usuario de utilizar en cada momento la versión actualizada. Esta facultad no otorga a los usuarios ningún derecho a percibir indemnización por daños y perjuicios.</p> <h3>Conducta del usuario</h3> <p>El Usuario reconoce y acepta que el uso de los servicios ofrecidos por la presente Aplicación será bajo su exclusivo riesgo y/o responsabilidad. El Usuario se compromete a utilizar la presente Aplicación y sus servicios de conformidad con la ley, la moral, el orden público y la presente Política. Siempre y cuando resulte de aplicación, y a título enunciativo, y en ningún caso limitativo o excluyente, el Usuario acepta expresamente no utilizar la Aplicación con las siguientes finalidades: <ul> <li>Publicar, transmitir o compartir comentarios que tengan carácter dañino, amenazante, ilegal, difamatorio, injurioso, calumniante, infractor, abusivo, incendiario, acosador, vulgar, obsceno, fraudulento, o realizar cualquier acción que se considere una intromisión o que vulnere el derecho a la intimidad, el honor y la propia imagen, que sea malicioso o cuestionable por motivos de raza, etnia, religión o cualquier otro, respecto a cualquier persona física o jurídica.</li> <li>Vulnerar las medidas de seguridad establecidas por la Entidad en la Aplicación o usarla de forma ilegal.</li> <li>Publicar, transmitir, compartir o facilitar comentarios que constituyan, inciten o proporcionen instrucciones para cometer delitos, que infrinjan los derechos de un tercero, dé lugar a responsabilidades o vulneren cualquier ley de ámbito local, nacional o internacional.</li> </ul> La Entidad se reserva el derecho de eliminar estos comentarios e incluso dar de baja al usuario que infrinja esta conducta. </p> <h3>Derechos de propiedad intelectual sobre la aplicación</h3> <p>Todos los componentes de la Aplicación son propiedad exclusiva de la Entidad. Ninguna parte de la Aplicación podrá ser modificada, copiada, distribuida, enmarcada, reproducida, republicada, descargada, mostrada, publicada, transmitida o vendida en modo alguno o por ningún medio, total o parcialmente, sin el previo consentimiento por escrito de la Entidad. Queda estrictamente prohibido el uso de la Aplicación de modo distinto al específicamente autorizado en la presente Política, sin el previo consentimiento por escrito de la Entidad. Siempre y cuando el usuario esté legitimado para usar la Aplicación, la Entidad le otorga una licencia limitada para usar y acceder a la Aplicación y sólo para su uso personal y profesional, y nunca comercial, siempre y cuando mantenga intactas todas las advertencias sobre derechos de autor y propiedad intelectual. Cualquier otro uso de la Aplicación queda estrictamente prohibido. </p> <h3>Exclusión de responsabilidad</h3> <p>La Entidad no es responsable del uso de la Aplicación por parte de los usuarios o de terceros. Asimismo, no será responsable de ningún daño o alteración en los equipos o dispositivos del usuario como resultado de la instalación o el uso de la Aplicación, así como por errores, omisiones, interrupciones, eliminaciones, defectos, retrasos de funcionamiento o de transmisión, fallos de la línea de comunicaciones o alteración de las comunicaciones del Usuario. La Entidad se reserva el derecho de efectuar en cualquier momento y sin previo aviso, cuantas modificaciones, actualizaciones periódicas, variaciones, supresiones o cancelaciones en el software y demás componentes utilizados o incluidos en la Aplicación que considere necesarios para añadir nuevas funcionalidades y servicios, debiendo asegurarse el usuario de utilizar en cada momento la versión actualizada. Con relación a la información de salud, Vd. entiende y acepta que el contenido de esta APP está destinado solamente a la comprensión general del usuario y no está destinada a ser sustituida por el consejo médico profesional, diagnóstico o tratamiento médico. Antes de someterse a cualquier tratamiento busque el consejo médico profesional del personal sanitario, quién dará respuesta a cualquier duda de carácter médico que pueda surgir. </p> <h3>Finalización</h3> <p>La Entidad puede finalizar el uso de la Aplicación en cualquier momento previa notificación al usuario, poniendo fin a todos los derechos y licencias otorgados a este usuario.</p>
CONTENTS_GENERIC/SETTINGS/TITLE;Settings
CONTENTS_GENERIC/SETTINGS/SHORT_TITLE;Settings
CONTENTS_GENERIC/SETTINGS/TEXT;Press to clean local video data
CONTENTS_GENERIC/SETTINGS/LOADING_TEXT;Erasing videos...
CONTENTS_GENERIC/SETTINGS/CONFIRM_REMOVE_VIDEOS/MESSAGE;If you delete videos, you will need to download them again to reproduce them. Are you sure you want to erase videos?
CONTENTS_GENERIC/SETTINGS/CONFIRM_REMOVE_VIDEOS/CONFIRM;Yes
CONTENTS_GENERIC/SETTINGS/CONFIRM_REMOVE_VIDEOS/REJECT;No
CONTENTS_GENERIC/SURVEY/TITLE;Self-Assessment survey
CONTENTS_GENERIC/SURVEY/SHORT_TITLE;Survey
CONTENTS_GENERIC/SURVEY/CONFIRM_OPEN/MESSAGE;You have {{value}} of lessons to check. Do you want to do the self-evaluation survey now?
CONTENTS_GENERIC/SURVEY/CONFIRM_OPEN/CONFIRM;Yes
CONTENTS_GENERIC/SURVEY/CONFIRM_OPEN/REJECT;No
CONTENTS_GENERIC/SURVEY/CONFIRM_CLOSE/MESSAGE;Your progress will be lost, are you sure you want to continue?
CONTENTS_GENERIC/SURVEY/CONFIRM_CLOSE/CONFIRM;Yes
CONTENTS_GENERIC/SURVEY/CONFIRM_CLOSE/REJECT;No
CONTENTS_GENERIC/SURVEY/RESULTS_GENERIC/RETURN_TO_SURVEY;Try again
CONTENTS_GENERIC/SURVEY/RESULTS_GENERIC/CORRECT_ANSWERS;correct answers
CONTENTS_GENERIC/SURVEY/RESULTS_SUCCESS/TITLE;Congratulations you have successfully completed the self-assessment!
CONTENTS_GENERIC/SURVEY/RESULTS_SUCCESS/SHARE;Share your success:
CONTENTS_GENERIC/SURVEY/RESULTS_SUCCESS/SHARE_TEXT;He obtenido un 100% en el cuestionario #SOSrespira aprendiendo a salvar la vida de una persona atragantada, prueba tú! http://ow.ly/4nm5Ts
CONTENTS_GENERIC/SURVEY/RESULTS_ALMOST_SUCCESS/TITLE;Well you'ccessfully completed the self-assessment, but you should check some concept!
CONTENTS_GENERIC/SURVEY/RESULTS_ALMOST_SUCCESS/SHARE;Share your success:
CONTENTS_GENERIC/SURVEY/RESULTS_ALMOST_SUCCESS/SHARE_TEXT;He obtenido un {{value}} en el cuestionario #SOSrespira aprendiendo a salvar la vida de una persona atragantada, prueba tú! http://ow.ly/4nm5Ts
CONTENTS_GENERIC/SURVEY/RESULTS_FAIL/TITLE;Check out videos and explanations, you have not successfully completed the self-assessment!
CONTENTS_EUROPE/ADULTS_MANEUVER/TITLE;Maneuver for adults/children
CONTENTS_EUROPE/ADULTS_MANEUVER/SHORT_TITLE;Adults / Children
CONTENTS_EUROPE/ADULTS_MANEUVER/PAY_ATTENTION;Pay attention to the indications that we give through these videos.
CONTENTS_EUROPE/ADULTS_MANEUVER/SURVEY;Self-Assessment survey
CONTENTS_EUROPE/ADULTS_MANEUVER/PRECAUTIONARY_MEASURES;Precautionary measures
CONTENTS_EUROPE/INFANTS_MANEUVER/TITLE;Maneuver for suckling infants
CONTENTS_EUROPE/INFANTS_MANEUVER/SHORT_TITLE;Suckling infants
CONTENTS_EUROPE/INFANTS_MANEUVER/PAY_ATTENTION;Pay attention to the indications that we give through these videos.
CONTENTS_EUROPE/INFANTS_MANEUVER/SURVEY;Self-Assessment survey
CONTENTS_EUROPE/INFANTS_MANEUVER/PRECAUTIONARY_MEASURES;Precautionary measures
CONTENTS_REST_OF_WORLD/ADULTS_MANEUVER/TITLE;Maneuver for adults/children
CONTENTS_REST_OF_WORLD/ADULTS_MANEUVER/SHORT_TITLE;Adults / Children
CONTENTS_REST_OF_WORLD/ADULTS_MANEUVER/PAY_ATTENTION;Pay attention to the indications that we give through these videos.
CONTENTS_REST_OF_WORLD/ADULTS_MANEUVER/SURVEY;Self-Assessment survey
CONTENTS_REST_OF_WORLD/ADULTS_MANEUVER/PRECAUTIONARY_MEASURES;Precautionary measures
CONTENTS_REST_OF_WORLD/INFANTS_MANEUVER/TITLE;Maneuver for suckling infants
CONTENTS_REST_OF_WORLD/INFANTS_MANEUVER/SHORT_TITLE;Suckling infants
CONTENTS_REST_OF_WORLD/INFANTS_MANEUVER/PAY_ATTENTION;Pay attention to the indications that we give through these videos.
CONTENTS_REST_OF_WORLD/INFANTS_MANEUVER/SURVEY;Self-Assessment survey
CONTENTS_REST_OF_WORLD/INFANTS_MANEUVER/PRECAUTIONARY_MEASURES;Precautionary measures
